"FileName","FilePath","Version"
"Microsoft.Data.SqlClient.SNI.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-arm\native\Microsoft.Data.SqlClient.SNI.dll","5.1.1.0"
"Microsoft.Data.SqlClient.SNI.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-arm64\native\Microsoft.Data.SqlClient.SNI.dll","5.1.1.0"
"sni.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-arm64\native\sni.dll","4.6.25512.01 built by: dlab-DDVSOWINAGE016. Commit Hash: d0d5c7b49271cadb6d97de26d8e623e98abdc8db"
"Microsoft.Data.SqlClient.SNI.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-x64\native\Microsoft.Data.SqlClient.SNI.dll","5.1.1.0"
"sni.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-x64\native\sni.dll","4.6.25512.01 built by: dlab-DDVSOWINAGE016. Commit Hash: d0d5c7b49271cadb6d97de26d8e623e98abdc8db"
"Microsoft.Data.SqlClient.SNI.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-x86\native\Microsoft.Data.SqlClient.SNI.dll","5.1.1.0"
"sni.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win-x86\native\sni.dll","4.6.25512.01 built by: dlab-DDVSOWINAGE016. Commit Hash: d0d5c7b49271cadb6d97de26d8e623e98abdc8db"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\tr\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\tr\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\tr\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\tr\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hans\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hans\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hans\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hans\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hant\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hant\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hant\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\zh-Hant\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Azure.Core.dll","D:\inetpub\Employer Package\Azure.Core.dll","1.3600.23.56006"
"Azure.Identity.dll","D:\inetpub\Employer Package\Azure.Identity.dll","1.1000.423.56303"
"Azure.Security.KeyVault.Certificates.dll","D:\inetpub\Employer Package\Azure.Security.KeyVault.Certificates.dll","4.500.123.18102"
"Azure.Security.KeyVault.Secrets.dll","D:\inetpub\Employer Package\Azure.Security.KeyVault.Secrets.dll","4.500.23.16403"
"BouncyCastle.Crypto.dll","D:\inetpub\Employer Package\BouncyCastle.Crypto.dll","1.8.5.50"
"Coravel.dll","D:\inetpub\Employer Package\Coravel.dll","5.0.3.0"
"Coravel.Mailer.dll","D:\inetpub\Employer Package\Coravel.Mailer.dll","5.0.1.0"
"EmployerPackage.dll","D:\inetpub\Employer Package\EmployerPackage.dll","1.0.0.0"
"EmployerPackageCore.dll","D:\inetpub\Employer Package\EmployerPackageCore.dll","1.0.0.0"
"EmployerPackageData.dll","D:\inetpub\Employer Package\EmployerPackageData.dll","1.0.0.0"
"MailKit.dll","D:\inetpub\Employer Package\MailKit.dll","2.5.1.0"
"Microsoft.AspNetCore.Authentication.JwtBearer.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Authentication.JwtBearer.dll","8.0.123.58008"
"Microsoft.AspNetCore.Authentication.Negotiate.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Authentication.Negotiate.dll","8.0.123.58008"
"Microsoft.AspNetCore.Authentication.OpenIdConnect.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Authentication.OpenIdConnect.dll","8.0.123.58008"
"Microsoft.AspNetCore.Connections.Abstractions.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Connections.Abstractions.dll","8.0.123.58008"
"Microsoft.AspNetCore.Mvc.Razor.Extensions.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Mvc.Razor.Extensions.dll","6.0.21.52608"
"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation.dll","6.0.21.52608"
"Microsoft.AspNetCore.Razor.Language.dll","D:\inetpub\Employer Package\Microsoft.AspNetCore.Razor.Language.dll","6.0.21.52608"
"Microsoft.Bcl.AsyncInterfaces.dll","D:\inetpub\Employer Package\Microsoft.Bcl.AsyncInterfaces.dll","6.0.21.52210"
"Microsoft.CodeAnalysis.CSharp.dll","D:\inetpub\Employer Package\Microsoft.CodeAnalysis.CSharp.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.dll","D:\inetpub\Employer Package\Microsoft.CodeAnalysis.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Razor.dll","D:\inetpub\Employer Package\Microsoft.CodeAnalysis.Razor.dll","6.0.21.52608"
"Microsoft.Data.SqlClient.dll","D:\inetpub\Employer Package\Microsoft.Data.SqlClient.dll","5.0.0.0"
"Microsoft.EntityFrameworkCore.Abstractions.dll","D:\inetpub\Employer Package\Microsoft.EntityFrameworkCore.Abstractions.dll","8.0.123.58002"
"Microsoft.EntityFrameworkCore.dll","D:\inetpub\Employer Package\Microsoft.EntityFrameworkCore.dll","8.0.123.58002"
"Microsoft.EntityFrameworkCore.Relational.dll","D:\inetpub\Employer Package\Microsoft.EntityFrameworkCore.Relational.dll","8.0.123.58002"
"Microsoft.EntityFrameworkCore.SqlServer.dll","D:\inetpub\Employer Package\Microsoft.EntityFrameworkCore.SqlServer.dll","8.0.123.58002"
"Microsoft.Extensions.DependencyModel.dll","D:\inetpub\Employer Package\Microsoft.Extensions.DependencyModel.dll","8.0.23.53103"
"Microsoft.Extensions.Features.dll","D:\inetpub\Employer Package\Microsoft.Extensions.Features.dll","8.0.123.58008"
"Microsoft.Identity.Abstractions.dll","D:\inetpub\Employer Package\Microsoft.Identity.Abstractions.dll","5.1.0.0"
"Microsoft.Identity.Client.dll","D:\inetpub\Employer Package\Microsoft.Identity.Client.dll","4.57.0.0"
"Microsoft.Identity.Client.Extensions.Msal.dll","D:\inetpub\Employer Package\Microsoft.Identity.Client.Extensions.Msal.dll","4.56.0.0"
"Microsoft.Identity.Web.Certificate.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.Certificate.dll","2.16.1.0"
"Microsoft.Identity.Web.Certificateless.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.Certificateless.dll","2.16.1.0"
"Microsoft.Identity.Web.Diagnostics.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.Diagnostics.dll","2.16.1.0"
"Microsoft.Identity.Web.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.dll","2.16.1.0"
"Microsoft.Identity.Web.TokenAcquisition.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.TokenAcquisition.dll","2.16.1.0"
"Microsoft.Identity.Web.TokenCache.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.TokenCache.dll","2.16.1.0"
"Microsoft.Identity.Web.UI.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.UI.dll","2.16.1.0"
"Microsoft.Identity.Web.UI.Views.dll","D:\inetpub\Employer Package\Microsoft.Identity.Web.UI.Views.dll","2.16.1.0"
"Microsoft.IdentityModel.Abstractions.dll","D:\inetpub\Employer Package\Microsoft.IdentityModel.Abstractions.dll","7.1.2.41121"
