#TYPE Selected.System.String
"SAM","DN","MemberOf","pwdAge","disabled","pWDneverExpires"
"PNicolary.Advisor","CN=PNicolary Advisor,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","0","FALSE","FALSE"
"prahmj","CN=prahmj,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","61","FALSE","FALSE"
"pramadas.advisor","CN=PRamadas Advisor,OU=Presentation,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","45","FALSE","FALSE"
"probstl","CN=probstl,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","76","FALSE","FALSE"
"PSimon.Advisor","CN=PSimon Advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","96","FALSE","FALSE"
"rajub","CN=rajub,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","69","FALSE","FALSE"
"rataycazkr","CN=rataycazkr,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","29","FALSE","TRUE"
"reportsvr","CN=Reporting Server,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","4033","FALSE","FALSE"
"restrepod","CN=restrepod,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","6","FALSE","FALSE"
"RMiaco.Advisor","CN=RMiaco Advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","96","FALSE","FALSE"
"RRios.Advisor","CN=RRios Advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","13","FALSE","FALSE"
"rrodriguez.advisor","CN=RRodriguez Advisor,OU=Middle_Tier,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","73","FALSE","FALSE"
"ryadav.Advisor","CN=ryadav Advisor,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","41","FALSE","FALSE"
"svc_st_winsys","CN=Scheduled Tasks WinSys,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","349","FALSE","TRUE"
"scheduler","CN=scheduler,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","982","FALSE","TRUE"
"schiffa","CN=schiffa,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","81","FALSE","FALSE"
"ssadmnpri","CN=SecretSvrPrivileged,OU=New Service Account Model,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","38","FALSE","TRUE"
"svc_securid","CN=SecurID Service Account,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","868","FALSE","TRUE"
"Setemadi.Advisor","CN=Setemadi Advisor,OU=Presentation,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","4","FALSE","FALSE"
"sguvvala.Advisor","CN=sguvvala Advisor,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","27","FALSE","FALSE"
"shoverc","CN=shoverc,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","40","FALSE","FALSE"
