"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"25.172.in-addr.arpa","20.20","PTR","vvslvcwb01.vegas.com.","3600","0","[static]","2007062857","11/21/2012 8:19:01 AM","6/12/2017 2:53:56 PM","True","DC=20.20,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","21.20","PTR","vvslvcwb02.vegas.com.","3600","0","[static]","2007062858","11/21/2012 8:19:12 AM","6/12/2017 2:53:56 PM","True","DC=21.20,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","32.249","PTR","vvtexcht01.test.vegas.com.","1200","3612623","2/15/2013 11:00:00 PM","2007062865","2/15/2013 3:06:00 PM","6/12/2017 2:53:56 PM","True","DC=32.249,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","54.40","PTR","vvloshms01.vegas.com.","3600","0","[static]","2007063084","10/4/2016 2:48:16 PM","6/12/2017 2:53:56 PM","True","DC=54.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","55.40","PTR","vvloshnd01.vegas.com.","3600","0","[static]","2007063085","10/4/2016 2:48:27 PM","6/12/2017 2:53:56 PM","True","DC=55.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","56.40","PTR","vvloshnd02.vegas.com.","3600","0","[static]","2007063086","10/4/2016 2:48:38 PM","6/12/2017 2:53:56 PM","True","DC=56.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","64.100","PTR","lab-openshift.vegas.com.","3600","0","[static]","2007063113","4/4/2017 3:55:42 PM","6/12/2017 2:53:57 PM","True","DC=64.100,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","40.40","PTR","vvndyncl04.vegas.com.","3600","0","[static]","2007062890","10/4/2013 10:17:11 AM","6/12/2017 2:53:56 PM","True","DC=40.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","41.40","PTR","vvtvdcwa07.vegas.com.","3600","0","[static]","2007062896","10/8/2013 12:15:54 PM","6/12/2017 2:53:56 PM","True","DC=41.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","42.40","PTR","vvtlvcwa07.lasvegas.com.","3600","0","[static]","2007062899","10/18/2013 12:13:58 PM","6/12/2017 2:53:56 PM","True","DC=42.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","40.249","PTR","vvtnkpap01.test.vegas.com.","1200","3619914","12/16/2013 6:00:00 PM","2007062904","12/16/2013 9:09:50 AM","6/12/2017 2:53:56 PM","True","DC=40.249,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","23.13","PTR","tix-devdb.corp.vegas.com.","3600","3644709","10/14/2016 9:00:00 PM","2007063089","10/14/2016 2:12:36 PM","6/12/2017 2:53:56 PM","True","DC=23.13,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","21.42","PTR","vvlclrap01.corp.vegas.com.","1200","3621226","2/9/2014 10:00:00 AM","2007062906","2/9/2014 2:38:13 AM","6/12/2017 2:53:56 PM","True","DC=21.42,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","57.40","PTR","vvloshnd03.vegas.com.","3600","0","[static]","2007063114","4/6/2017 8:26:45 AM","6/12/2017 2:53:57 PM","True","DC=57.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","20.42","PTR","vvlclrap01.corp.vegas.com.","1200","0","[static]","2007062907","11/19/2009 3:12:56 PM","6/12/2017 2:53:56 PM","True","DC=20.42,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","21.40","PTR","vvtsqldb01.corp.vegas.com.","1200","3621265","2/11/2014 1:00:00 AM","2007062911","2/9/2014 5:19:28 PM","6/12/2017 2:53:56 PM","True","DC=21.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","139.16.21","PTR","oem-cnqjh3ea3hf.","900","3662649","11/1/2018 9:00:00 AM","2007541411","5/19/2013 2:02:13 AM","11/1/2018 2:03:09 AM","True","DC=139.16.21,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","5.50.2","PTR","dbrummer-laptop.corp.vegas.com.","1200","3658895","5/28/2018 11:00:00 PM","2007477983","5/14/2018 3:45:14 PM","5/28/2018 4:52:07 PM","True","DC=5.50.2,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"10.in-addr.arpa","162.22.25","UNKNOWN","glkbl7tx1AE=","0","0","[static]","2007541405","10/4/2018 6:54:38 AM","11/1/2018 1:19:35 AM","True","DC=162.22.25,DC=10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
