#TYPE Selected.Microsoft.SharePoint.Administration.SPFeatureDefinition
"Id","DisplayName","Scope","CompatibilityLevel"
"aebc918d-b20f-4a11-a1db-9ed84d79c87e","PublishingResources","Site","14"
"aeef8777-70c0-429f-8a13-f12db47a6d47","BulkWorkflow","Farm","14"
"af847aa9-beb6-41d4-8306-78e41af9ce25","ProfileSynch","Farm","14"
"b21b090c-c796-4b0f-ac0f-7ef1659c20ae","BaseSite","Site","14"
"b3da33d0-5e51-4694-99ce-705a3ac80dc5","ExcelServerEdit","Site","14"
"b50e3104-6812-424f-a011-cc90e6327318","DocId","Site","14"
"b5934f65-a844-4e67-82e5-92f66aafe912","ReviewWorkflowsSPD","Site","14"
"b5d169c9-12db-4084-b68d-eef9273bd898","TenantAdminBDCStapling","Farm","14"
"b63ef52c-1e99-455f-8511-6a706567740f","SiteUpgrade","WebApplication","14"
"b738400a-f08a-443d-96fa-a852d0356bba","TenantAdminSecureStore","Web","14"
"b8f36433-367d-49f3-ae11-f7d76b51d251","AdminReportCore","Site","14"
"bc29e863-ae07-4674-bd83-2c6d0aa5623f","OSearchBasicFeature","WebApplication","14"
"bcf89eb7-bca1-4468-bdb4-ca27f61a2292","AccSrvShell","Web","14"
"c43a587e-195b-4d29-aba8-ebb22b48eb1a","SRPProfileAdmin","Farm","14"
"c4773de6-ba70-4583-b751-2a7b1dc67e3a","SignaturesWorkflowSPD","Site","14"
"c59dbaa9-fa01-495d-aaa3-3c02cc2ee8ff","ManageUserProfileServiceApplication","Farm","14"
"c5d947d6-b0a2-4e07-9929-8e54f5a9fff9","ReportCenterSampleData","Web","14"
"c6561405-ea03-40a9-a57f-f25472942a22","TranslationWorkflow","Site","14"
"c65861fa-b025-4634-ab26-22a23e49808f","SearchAdminWebParts","Web","14"
"c6ac73de-1936-47a4-bdff-19a6fc3ba490","ExcelServerWebPartStapler","Farm","14"
"c845ed8d-9ce5-448c-bd3e-ea71350ce45b","LegacyWorkflows","Site","14"
"c85e5759-f323-4efb-b548-443d2216efb5","ExpirationWorkflow","Site","14"
"c88c4ff1-dbf5-4649-ad9f-c6c426ebcbf5","IPFSSiteFeatures","Site","14"
"c922c106-7d0a-4377-a668-7f13d52cb80f","OSearchCentralAdminLinks","Farm","14"
"c9c9515d-e4e2-4001-9050-74f980f93160","OffWFCommon","Site","14"
"ca2543e6-29a1-40c1-bba9-bd8510a4c17b","DeploymentLinks","Web","14"
"ca7bd552-10b1-4563-85b9-5ed1d39c962a","fields","Site","14"
"cdfa39c6-6413-4508-bccf-bf30368472b3","DataConnectionLibraryStapling","Farm","14"
"d250636f-0a26-4019-8425-a5232d592c01","ObaSimpleSolution","Web","14"
"d250636f-0a26-4019-8425-a5232d592c09","AddDashboard","Web","14"
