"ComputerName","AppName","AppVersion","AppVendor","InstalledDate","UninstallKey","AppGUID","Arch"
"LASINFRA05","SolarWinds VoIP and Network Quality Manager 4.4.0","4.4.0.352","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{DBD4834A-A4F6-4A97-99BC-30D9AD9D9C1D}","{DBD4834A-A4F6-4A97-99BC-30D9AD9D9C1D}","32"
"LASINFRA05","SolarWinds Recommendations v1.1.0","1.1.4358.0","SolarWinds, Inc.","20170624","MsiExec.exe /X{DFFEE03B-B02E-4271-8F6D-4685995D7525}","{DFFEE03B-B02E-4271-8F6D-4685995D7525}","32"
"LASINFRA05","SolarWinds Agent 1.7.331.0","1.7.331.0","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /X{E146631F-6438-415B-B524-C177CEEFFA6C}","{E146631F-6438-415B-B524-C177CEEFFA6C}","32"
"LASINFRA05","Microsoft System CLR Types for SQL Server 2012","11.0.2100.60","Microsoft Corporation","20140123","MsiExec.exe /I{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}","{E2082604-4BA5-44BB-BBFB-AF0F3CB8C6AB}","32"
"LASINFRA05","Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215","14.0.24215.1","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{e2803110-78b3-4664-a479-3611a381656a}\VC_redist.x86.exe""  /uninstall","{e2803110-78b3-4664-a479-3611a381656a}","32"
"LASINFRA05","SolarWinds Orion Network Atlas v1.16.20","1.16.39.0","SolarWinds, Inc.","20180405","MsiExec.exe /X{E8D26DA9-4B82-46CE-A50B-4A506B0BE4BB}","{E8D26DA9-4B82-46CE-A50B-4A506B0BE4BB}","32"
"LASINFRA05","SolarWinds Orion Improvement Program v2.0","2.7.147.0","SolarWinds, Inc.","20170624","MsiExec.exe /I{E95C9B7F-59B2-4E61-8122-D237570F86E8}","{E95C9B7F-59B2-4E61-8122-D237570F86E8}","32"
"LASINFRA05","SolarWinds Orion NetPath v1.1.0","1.1.3418.0","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{E9DFBBB0-499C-42D3-999A-C9E4A1F6A64B}","{E9DFBBB0-499C-42D3-999A-C9E4A1F6A64B}","32"
"LASINFRA05","SolarWinds SCP Server","1.0.4.31","SolarWinds","20140226","MsiExec.exe /X{F02FC38E-AB94-4AB9-A47F-24C4F113DDAC}","{F02FC38E-AB94-4AB9-A47F-24C4F113DDAC}","32"
"LASINFRA05","Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20151007","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}","{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}","32"
"LASINFRA05","SolarWinds Orion Network Performance Monitor v12.1","12.1.5300.0","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{F2D4E778-D0BD-4E98-8660-1995CE667B56}","{F2D4E778-D0BD-4E98-8660-1995CE667B56}","32"
"LASINFRA05","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{f65db027-aff3-4070-886a-0d87064aabb1}\vcredist_x86.exe""  /uninstall","{f65db027-aff3-4070-886a-0d87064aabb1}","32"
"LASINFRA05","MSXML 4.0 SP2 (KB973688)","4.20.9876.0","Microsoft Corporation","20111119","MsiExec.exe /I{F662A8E6-F4DC-41A2-901E-8C11F044BDEC}","{F662A8E6-F4DC-41A2-901E-8C11F044BDEC}","32"
"LASINFRA05","Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20140313","MsiExec.exe /X{F8CFEB22-A2E7-3971-9EDA-4B11EDEFC185}","{F8CFEB22-A2E7-3971-9EDA-4B11EDEFC185}","32"
"LASINFRA05","SolarWinds IP Address Manager v4.3.2","4.3.2","SolarWinds","20170520","MsiExec.exe /X{F957F778-7372-4297-A8DE-EF2739BBD497}","{F957F778-7372-4297-A8DE-EF2739BBD497}","32"
"LASINFRA05","SolarWinds Job Engine v1.6.0","1.6.0.0","SolarWinds, Inc.","20140123","MsiExec.exe /I{FA8EB783-5D28-4E56-B7E6-01A302DDE56F}","{FA8EB783-5D28-4E56-B7E6-01A302DDE56F}","32"
"LASINFRA05","Service Pack 3 for SQL Server 2008 (KB2546951) (64-bit)","10.3.5500.0","Microsoft Corporation","20151024","""C:\Program Files\Microsoft SQL Server\100\Setup Bootstrap\Update Cache\KB2546951\ServicePack\setup.exe"" /Action=RemovePatch /AllInstances ","KB2546951","64"
"LASINFRA05","Service Pack 3 for SQL Server 2012 (KB3072779) (64-bit)","11.3.6020.0","Microsoft Corporation","20160123","""C:\Program Files\Microsoft SQL Server\110\Setup Bootstrap\Update Cache\KB3072779\ServicePack\setup.exe"" /Action=RemovePatch /AllInstances ","KB3072779","64"
"LASINFRA05","Microsoft Help Viewer 1.1","1.1.40219","Microsoft Corporation",,"C:\Program Files\Microsoft Help Viewer\v1.0\Microsoft Help Viewer 1.1\install.exe","Microsoft Help Viewer 1.1","64"
"LASINFRA05","Microsoft SQL Server 2012 (64-bit)",,,,,"Microsoft SQL Server 11","64"
"LASINFRA05","Microsoft SQL Server 2012 (64-bit)",,"Microsoft Corporation",,"""C:\Program Files\Microsoft SQL Server\110\Setup Bootstrap\SQLServer2012\x64\SetupARP.exe""","Microsoft SQL Server SQLServer2012","64"
"LASINFRA05","Windows Server Update Services 3.0 SP2","3.2.7600.226","Microsoft Corporation",,"C:\Program Files\Update Services\Setup\WusSetup.exe /u","Windows Server Update Services 3.0 SP2","64"
"LASINFRA05","Hotfix for Windows Server Update Services 3.0 SP2 (KB2720211)","3.2.7600.251","Microsoft Corporation",,"N/A","Windows Server Update Services 3.0 SP2 (KB2720211)","64"
"LASINFRA05","WindowsFileSystemiDataAgentCore Instance001","11.110.463.0","Commvault","20180330","MsiExec.exe /I{0308A1A3-7897-44FC-B594-29A1E9FF9186}","{0308A1A3-7897-44FC-B594-29A1E9FF9186}","64"
"LASINFRA05","Microsoft SQL Server 2012 Transact-SQL ScriptDom ","11.3.6020.0","Microsoft Corporation","20160123","MsiExec.exe /I{076FF390-D283-4174-B602-B0B7B72BD024}","{076FF390-D283-4174-B602-B0B7B72BD024}","64"
