"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-Exch-Public-Delegates","7/11/2011 2:53:52 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Public-Delegates,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Default-Email-Truncation-Size","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Default-Email-Truncation-Size,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Folder-Affinity-Custom","7/11/2011 2:57:36 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Folder-Affinity-Custom,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Correlation-Id","10/23/2019 3:46:38 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Correlation-Id,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Delegates-BL","7/11/2011 2:54:59 PM","5/19/2021 4:18:35 PM","CN=ms-Exch-Public-Delegates-BL,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-Duration-Per-Flow","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-Duration-Per-Flow,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Relay-For-Auth","7/11/2011 2:54:54 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Smtp-Relay-For-Auth,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Folder-Affinity-List","7/11/2011 2:57:36 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Folder-Affinity-List,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Device-Number-Of-Previous-Passwords-Disallowed","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Device-Number-Of-Previous-Passwords-Disallowed,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Public-Folder","7/11/2011 2:54:13 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-No-Of-Account-Files","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-No-Of-Account-Files,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Relay-Ip-List","7/11/2011 2:54:54 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Smtp-Relay-Ip-List,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Folder-Deleted-Item-Retention","10/23/2019 3:46:53 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder-Deleted-Item-Retention,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Folder-Pathname","7/11/2011 2:53:46 PM","5/19/2021 4:18:35 PM","CN=ms-Exch-Folder-Pathname,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Device-Password-Expiration","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Device-Password-Expiration,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-No-Of-Log-Files","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-No-Of-Log-Files,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Folder-EntryId","10/23/2019 3:46:33 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder-EntryId,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Remote-Queue-Delay-Notification","7/11/2011 2:54:54 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Smtp-Remote-Queue-Delay-Notification,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Foreign-Forest-FQDN","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Foreign-Forest-FQDN,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Device-Policy-Refresh-Interval","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Device-Policy-Refresh-Interval,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Cost","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Cost,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Folder-Mailbox","10/23/2019 3:46:33 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder-Mailbox,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-Peak-Bandwidth","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-Peak-Bandwidth,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Folder-Moved-Item-Retention","10/23/2019 3:47:10 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder-Moved-Item-Retention,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Remote-Queue-Expiration-Timeout","7/11/2011 2:54:54 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Smtp-Remote-Queue-Expiration-Timeout,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Countries","6/30/2014 11:27:44 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Countries,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Foreign-Forest-Org-Admin-USG-Sid","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Foreign-Forest-Org-Admin-USG-Sid,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
