"pwdlastset","enabled","samaccountname"
"3/31/2016 8:35:11 AM","False","dthd.templateadvisor"
"3/31/2016 11:14:19 AM","True","OpenFireAdmin"
"7/5/2016 8:53:59 AM","False","MGardner"
"12/31/1600 4:00:00 PM","False","QAAnalystTemplate"
"4/1/2016 7:53:41 AM","True","customercare"
"12/31/1600 4:00:00 PM","False","_Execassistanttemp"
"4/8/2016 12:47:15 PM","False","Staffacctemplate"
"12/31/1600 4:00:00 PM","False","ARamon"
"4/14/2016 12:22:36 PM","True","svc_ExchSearch"
"4/14/2016 2:08:21 PM","True","svc_netbrain_tst"
"1/27/2017 5:03:23 AM","False","rreese"
"5/2/2016 10:52:57 AM","False","halvarado"
"7/8/2016 4:16:20 PM","False","PDomingo"
"4/26/2016 8:12:44 AM","False","cbrannon"
"4/21/2016 10:46:16 AM","False","rfrilles"
"4/21/2016 3:57:22 PM","False","MiddleTierTemp"
"8/8/2016 7:39:54 AM","False","DMoriarity"
"4/26/2016 11:32:02 AM","False","TemplarTemp"
"5/3/2016 12:52:02 PM","False","RCastro"
"4/26/2016 3:58:07 PM","False","UnixDBATemp"
"4/27/2016 9:25:02 AM","False","telecomtemp"
"9/26/2017 8:21:13 AM","False","cmary"
"10/2/2017 10:13:04 AM","False","Cmary.Advisor"
"1/16/2017 5:55:50 AM","False","bharrison"
"5/10/2016 12:59:04 PM","True","spmonitor"
"5/1/2017 10:02:43 AM","False","alindo"
"5/6/2016 7:53:49 AM","False","EVMendoza"
"5/6/2016 1:25:21 PM","False","LMGarcia"
"2/1/2017 7:08:07 AM","False","FDuran"
"5/9/2016 12:04:07 PM","False","FacilitiesTemplate"
"2/8/2017 2:53:10 PM","False","esoriano"
"5/13/2016 9:51:56 AM","True","merkle"
"5/16/2016 8:17:06 AM","False","DevBridge1"
"5/16/2016 8:24:40 AM","False","DevBridge2"
"5/16/2016 8:25:23 AM","False","DevBridge3"
"5/16/2016 8:26:15 AM","False","DevBridge4"
"5/16/2016 8:27:03 AM","False","DevBridge5"
"7/24/2017 1:20:21 PM","False","kewilliams"
"5/23/2016 3:16:53 PM","False","MKhan"
"5/30/2016 10:54:30 AM","False","JBadaracco"
"6/1/2016 8:49:47 AM","False","KChildress"
"8/29/2016 1:55:48 PM","False","GHolguin"
"8/26/2016 2:05:24 PM","False","RWatkins"
"5/27/2016 9:42:19 AM","True","Recovery.Suppoprt"
"6/1/2016 6:16:04 AM","False","MChu"
"6/1/2016 12:28:42 PM","False","VDeCaro"
"6/3/2016 8:34:36 AM","False","CSPMtemp"
"10/25/2016 9:20:25 AM","False","HMaxey"
"10/20/2016 6:03:49 AM","False","mcortez"
"5/15/2017 8:37:34 AM","False","mtorres"
"6/9/2016 12:04:47 PM","False","jsood"
"12/5/2016 7:22:46 AM","False","WSanchez"
"6/13/2016 7:07:12 AM","False","LMendoza"
