"User","Source","Time","EventType","Controller"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:10:31 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:10:47 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:10:59 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:01 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:07 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:15 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:23 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:33 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:40 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:45 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:52 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:11:59 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:12:07 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:12:15 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:12:23 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:12:27 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:12:50 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:12:59 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:13:10 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:13:15 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:18:20 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 12:20:54 AM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:21:28 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:26:26 PM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:26:57 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:27:11 PM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:27:15 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:27:24 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:27:29 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:27:40 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:27:48 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:28:01 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:28:09 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:29:49 PM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 12:59:26 PM","Lockout","LASDC02"
"wnaylor","DPC-18766","12/1/2017 2:19:29 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 2:20:57 PM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","12/1/2017 2:21:38 PM","Lockout","LASDC02"
"wparrish","DPC-19738","12/1/2017 2:22:11 PM","Lockout","LASDC02"
"wnaylor","Unlocked By: WListon.Advisor","12/1/2017 2:22:12 PM","Unlock","LASDC02"
"wparrish","Unlocked By: WListon.Advisor","12/1/2017 2:23:57 PM","Unlock","LASDC02"
"SHinds.Advisor","DPC-18457","12/1/2017 2:27:08 PM","Lockout","LASDC02"
"SHinds.Advisor","Unlocked By: jlane.advisor","12/1/2017 2:28:05 PM","Unlock","LASDC02"
"OIvanova","DPC-20338","12/1/2017 2:41:12 PM","Lockout","LASDC02"
"OIvanova","Unlocked By: WListon.Advisor","12/1/2017 2:50:35 PM","Unlock","LASDC02"
"OIvanova","DPC-20338","12/1/2017 2:51:08 PM","Lockout","LASDC02"
"RRegino","DPC-20515","12/1/2017 2:52:08 PM","Lockout","LASDC02"
"RRegino","Unlocked By: WListon.Advisor","12/1/2017 2:53:15 PM","Unlock","LASDC02"
"OIvanova","Unlocked By: WListon.Advisor","12/1/2017 2:53:33 PM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 2:54:48 AM","Lockout","LASDC01"
"Guest","LASISE01","12/1/2017 2:56:09 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 3:25:57 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 4:20:56 AM","Lockout","LASDC01"
"ssadmnpri","LASSECSRV01","12/1/2017 4:45:59 PM","Lockout","LASDC02"
"HPamarthi.Advisor","LASPEGASQL01","12/1/2017 5:00:00 PM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 5:20:55 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 5:58:50 PM","Lockout","LASDC02"
"HPamarthi.Advisor","LASSQL03","12/1/2017 6:00:00 PM","Lockout","LASDC02"
"jomartinez","DPC-20786","12/1/2017 6:00:15 AM","Lockout","LASDC02"
"jomartinez","Unlocked By: MOconner.Advisor","12/1/2017 6:02:22 AM","Unlock","LASDC02"
"nsolomon","DPC-20820","12/1/2017 6:29:56 AM","Lockout","LASDC02"
"sfoster","LASSASC01","12/1/2017 6:37:52 AM","Lockout","LASDC02"
"sfoster","Unlocked By: MOconner.Advisor","12/1/2017 6:45:22 AM","Unlock","LASDC02"
"sfoster","Unlocked By: MOconner.Advisor","12/1/2017 6:45:28 AM","Unlock","LASDC02"
"Asamson","DPC-19747","12/1/2017 6:53:49 AM","Lockout","LASDC02"
"Asamson","Unlocked By: MOconner.Advisor","12/1/2017 6:55:28 AM","Unlock","LASDC02"
"Asamson","Unlocked By: MOconner.Advisor","12/1/2017 6:56:00 AM","Unlock","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 7:15:16 AM","Lockout","LASDC05"
"ssadmnpri","LASSECSRV01","12/1/2017 7:20:58 PM","Lockout","LASDC02"
"jomartinez","DPC-20786","12/1/2017 7:25:42 AM","Lockout","LASDC02"
"ssadmnpri","LASSECSRV01","12/1/2017 7:26:07 PM","Lockout","LASDC05"
