DCTEST01MT,KtmRm for Distributed Transaction Coordinator,Stopped,Manual
DCTEST01MT,Server,Running,Automatic
DCTEST01MT,Workstation,Running,Automatic
DCTEST01MT,Link-Layer Topology Discovery Mapper,Stopped,Manual
DCTEST01MT,TCP/IP NetBIOS Helper,Running,Automatic
DCTEST01MT,Local Session Manager,Running,Automatic
DCTEST01MT,Multimedia Class Scheduler,Stopped,Manual
DCTEST01MT,Windows Firewall,Running,Automatic
DCTEST01MT,Web Deployment Agent Service,Running,Automatic
DCTEST01MT,Distributed Transaction Coordinator,Running,Automatic
DCTEST01MT,Microsoft iSCSI Initiator Service,Stopped,Manual
DCTEST01MT,Windows Installer,Stopped,Manual
DCTEST01MT,Message Queuing,Running,Automatic
DCTEST01MT,Network Access Protection Agent,Stopped,Manual
DCTEST01MT,Network Connectivity Assistant,Stopped,Manual
DCTEST01MT,Netlogon,Running,Automatic
DCTEST01MT,Network Connections,Running,Manual
DCTEST01MT,Network List Service,Running,Manual
DCTEST01MT,Net.Tcp Port Sharing Service,Stopped,Disabled
DCTEST01MT,Network Location Awareness,Running,Automatic
DCTEST01MT,Network Store Interface Service,Running,Automatic
DCTEST01MT,OracleMTSRecoveryService,Stopped,Automatic
DCTEST01MT,OracleRemExecServiceV2,Stopped,Manual
DCTEST01MT,Performance Counter DLL Host,Stopped,Manual
DCTEST01MT,Performance Logs & Alerts,Stopped,Manual
DCTEST01MT,Plug and Play,Running,Manual
DCTEST01MT,IPsec Policy Agent,Running,Manual
DCTEST01MT,Power,Running,Automatic
DCTEST01MT,Printer Extensions and Notifications,Stopped,Manual
DCTEST01MT,User Profile Service,Running,Automatic
DCTEST01MT,Remote Access Auto Connection Manager,Stopped,Manual
DCTEST01MT,Remote Access Connection Manager,Stopped,Manual
DCTEST01MT,Routing and Remote Access,Stopped,Disabled
DCTEST01MT,Remote Registry,Stopped,Manual
DCTEST01MT,RPC Endpoint Mapper,Running,Automatic
DCTEST01MT,Remote Procedure Call (RPC) Locator,Stopped,Manual
DCTEST01MT,Remote Procedure Call (RPC),Running,Automatic
DCTEST01MT,Resultant Set of Policy Provider,Stopped,Manual
DCTEST01MT,Special Administration Console Helper,Stopped,Manual
DCTEST01MT,Security Accounts Manager,Running,Automatic
DCTEST01MT,Smart Card,Stopped,Disabled
DCTEST01MT,Task Scheduler,Running,Automatic
DCTEST01MT,Smart Card Removal Policy,Stopped,Manual
DCTEST01MT,Secondary Logon,Stopped,Manual
DCTEST01MT,System Event Notification Service,Running,Automatic
DCTEST01MT,Symantec Endpoint Protection,Running,Automatic
DCTEST01MT,Remote Desktop Configuration,Running,Manual
DCTEST01MT,Internet Connection Sharing (ICS),Stopped,Disabled
DCTEST01MT,Shell Hardware Detection,Running,Automatic
DCTEST01MT,Symantec Auto-upgrade Agent,Stopped,Manual
DCTEST01MT,Symantec Network Access Control,Stopped,Manual
DCTEST01MT,SNMP Service,Running,Automatic
DCTEST01MT,SNMP Trap,Stopped,Manual
DCTEST01MT,Print Spooler,Running,Automatic
DCTEST01MT,Software Protection,Stopped,Automatic
DCTEST01MT,SSDP Discovery,Stopped,Disabled
DCTEST01MT,Secure Socket Tunneling Protocol Service,Stopped,Manual
DCTEST01MT,Spot Verifier,Stopped,Manual
DCTEST01MT,Microsoft Software Shadow Copy Provider,Stopped,Manual
DCTEST01MT,Superfetch,Stopped,Manual
DCTEST01MT,Telephony,Stopped,Manual
DCTEST01MT,Remote Desktop Services,Running,Manual
DCTEST01MT,Themes,Running,Automatic
DCTEST01MT,Thread Ordering Server,Stopped,Manual
DCTEST01MT,Track-It! Workstation Manager,Running,Automatic
DCTEST01MT,Distributed Link Tracking Client,Running,Automatic
DCTEST01MT,Windows Modules Installer,Stopped,Manual
DCTEST01MT,User Access Logging Service,Running,Automatic
DCTEST01MT,Interactive Services Detection,Stopped,Manual
DCTEST01MT,Remote Desktop Services UserMode Port Redirector,Running,Manual
DCTEST01MT,UPnP Device Host,Stopped,Disabled
DCTEST01MT,FNBM Validation Trigger Watcher,Stopped,Manual
DCTEST01MT,Credential Manager,Stopped,Manual
DCTEST01MT,Virtual Disk,Stopped,Manual
DCTEST01MT,VMware Alias Manager and Ticket Service,Running,Automatic
DCTEST01MT,Hyper-V Heartbeat Service,Stopped,Manual
DCTEST01MT,Hyper-V Data Exchange Service,Stopped,Manual
DCTEST01MT,Hyper-V Remote Desktop Virtualization Service,Stopped,Manual
DCTEST01MT,Hyper-V Guest Shutdown Service,Stopped,Manual
DCTEST01MT,Hyper-V Time Synchronization Service,Stopped,Manual
DCTEST01MT,Hyper-V Volume Shadow Copy Requestor,Stopped,Manual
DCTEST01MT,VMware Tools,Running,Automatic
DCTEST01MT,VMware Snapshot Provider,Stopped,Manual
DCTEST01MT,VMware Physical Disk Helper Service,Running,Automatic
DCTEST01MT,Volume Shadow Copy,Stopped,Manual
DCTEST01MT,Windows Time,Running,Manual
DCTEST01MT,World Wide Web Publishing Service,Running,Automatic
DCTEST01MT,Windows Process Activation Service,Running,Manual
DCTEST01MT,Windows Color System,Stopped,Manual
DCTEST01MT,Diagnostic Service Host,Stopped,Manual
DCTEST01MT,Diagnostic System Host,Stopped,Manual
DCTEST01MT,Windows Event Collector,Stopped,Manual
DCTEST01MT,Problem Reports and Solutions Control Panel Support,Stopped,Manual
DCTEST01MT,Windows Error Reporting Service,Stopped,Manual
DCTEST01MT,WinHTTP Web Proxy Auto-Discovery Service,Stopped,Manual
DCTEST01MT,Windows Management Instrumentation,Running,Automatic
DCTEST01MT,Windows Remote Management (WS-Management),Running,Automatic
DCTEST01MT,WMI Performance Adapter,Stopped,Manual
DCTEST01MT,Web Management Service,Running,Automatic
DCTEST01MT,Portable Device Enumerator Service,Stopped,Manual
DCTEST01MT,Windows Store Service (WSService),Stopped,Manual
DCTEST01MT,Windows Update,Stopped,Manual
DCTEST01MT,Windows Driver Foundation - User-mode Driver Framework,Stopped,Manual
MachineName,DisplayName,Status,StartType
DCTEST01WEB,Application Experience,Stopped,Manual
DCTEST01WEB,Application Layer Gateway Service,Stopped,Manual
